Tick PD1 PD2 PD3
1205 182 180 009
1206 182 180 008
1207 181 180 007
1208 181 180 006
1209 181 180 006
1210 181 180 005
1211 181 180 005
1212 181 180 005
1213 182 180 004
1214 182 180 004
1215 182 180 004
1216 182 180 003
1217 182 180 002
1218 182 180 002
1219 182 180 001
1220 182 180 001
1221 182 181 000
1222 182 180 000
1223 182 180 000
1224 182 180 000
1225 182 180 000
1226 182 180 000
1227 182 180 000
1228 182 180 000
1229 182 180 001
1230 182 180 001
1231 182 180 002
1232 182 180 002
1233 182 180 003
1234 183 180 003
1235 183 180 003
1236 183 180 004
1237 183 180 004
1238 183 180 004
1239 183 180 004
1240 183 180 004
1241 184 180 004
1242 184 180 003
1243 184 180 003
1244 184 180 003
1245 185 180 002
1246 185 179 002
1247 185 179 001
1248 186 179 001
1249 186 180 000
1250 186 180 000
1251 187 180 000
1252 187 181 000
1253 187 181 000
1254 188 181 000
1255 188 181 000
1256 188 181 000
1257 189 181 001
1258 189 181 001
1259 189 181 002
1260 190 181 002
1261 190 181 003
1262 191 181 003
1263 191 181 004
1264 191 182 004
1265 192 182 004
1266 192 182 004
1267 192 183 004
1268 192 183 004
1269 192 183 004
1270 193 183 004
1271 193 183 003
1272 193 183 003
1273 193 183 003
1274 193 183 002
1275 193 183 002
1276 193 183 001
1277 192 183 001
1278 191 184 000
1279 190 184 000
1280 189 185 000
1281 187 185 000
1282 186 186 000
1283 183 186 000
1284 180 186 000
1285 176 186 001
1286 169 186 002
1287 161 186 002
1288 150 186 003
1289 138 187 004
1290 124 186 006
1291 110 187 007
1292 095 187 010
1293 080 187 013
1294 067 187 019
1295 054 188 029
1296 044 188 042
1297 034 188 058
1298 026 188 078
1299 020 188 100
1300 014 188 122
1301 009 188 145
1302 006 187 166
1303 004 187 182
1304 002 186 192
1305 001 186 197
1306 000 185 200
1307 000 184 201
1308 000 182 202
1309 000 180 202
1310 000 177 202
1311 000 173 202
1312 000 166 202
1313 000 157 203
1314 000 145 203
1315 000 131 203
1316 000 115 203
1317 000 098 203
1318 000 082 203
1319 000 066 203
1320 000 051 203
1321 000 037 203
1322 000 026 203
1323 000 017 203
1324 000 010 203
1325 000 006 203
1326 000 003 202
1327 000 001 201
1328 000 000 201
1329 000 000 200
1330 001 000 199
1331 003 000 197
1332 005 000 195
1333 009 000 193
1334 015 000 190
1335 023 000 186
1336 033 000 179
1337 045 000 169
1338 058 000 154
1339 072 000 134
1340 087 000 111
1341 102 000 088
1342 117 000 065
1343 131 000 045
1344 144 000 030
1345 155 000 018
1346 164 000 011
1347 172 000 008
1348 179 000 007
1349 183 000 006
1350 186 000 005
1351 189 000 005
1352 191 000 005
1353 192 000 004
1354 194 000 004
1355 195 000 004
1356 196 001 003
1357 196 001 003
1358 197 002 002
1359 198 004 002
1360 198 005 001
1361 198 008 001
1362 199 014 000
1363 199 024 000
1364 198 036 000
1365 198 051 000
1366 198 069 000
1367 198 088 000
1368 198 108 000
1369 197 126 000
1370 197 143 001
1371 197 156 001
1372 197 166 002
1373 197 174 003
1374 196 178 003
1375 196 182 004
1376 196 184 004
1377 196 186 004
1378 196 187 005
1379 196 189 005
1380 196 190 005
1381 196 191 005
1382 196 192 005
1383 196 192 005
1384 196 193 005
1385 196 193 005
1386 196 193 005
1387 196 193 005
1388 196 193 006
1389 196 192 007
1390 196 192 010
1391 196 192 017
1392 196 192 029
1393 196 191 047
1394 196 190 069
1395 196 189 095
1396 196 188 121
1397 195 186 145
1398 195 184 163
1399 195 182 176
1400 194 179 183
1401 194 176 189
1402 193 169 192
1403 192 159 195
1404 190 147 197
1405 189 132 199
1406 188 115 199
1407 186 097 200
1408 183 079 200
1409 179 062 200
1410 175 047 200
1411 168 034 199
1412 160 024 199
1413 151 016 199
1414 140 010 198
1415 128 006 198
1416 114 003 197
1417 099 001 197
1418 083 000 197
1419 067 000 196
1420 052 000 196
1421 039 000 195
1422 029 000 195
1423 020 000 195
1424 014 000 194
1425 009 000 194
1426 006 000 194
1427 003 000 194
1428 002 000 193
1429 001 000 192
1430 000 000 190
1431 000 000 187
1432 000 000 182
1433 000 000 173
1434 000 000 160
1435 000 000 142
1436 000 000 119
1437 000 000 096
1438 000 000 073
1439 000 000 053
1440 000 000 037
1441 000 000 024
1442 000 000 016
1443 000 000 011
1444 000 000 008
1445 000 000 006
1446 000 000 004
1447 000 001 003
1448 000 003 002
1449 000 005 001
1450 000 008 000
1451 000 014 000
1452 000 023 000
1453 000 035 000
1454 000 051 000
1455 000 068 000
1456 000 086 000
1457 000 105 001
1458 000 123 001
1459 000 139 002
1460 000 152 003
1461 000 163 003
1462 000 171 004
1463 000 177 004
1464 000 181 005
1465 000 183 005
1466 000 185 005
1467 000 187 005
1468 000 188 005
1469 000 189 005
1470 000 190 005
1471 000 191 004
1472 000 192 004
1473 000 192 003
1474 000 193 003
1475 000 194 002
1476 000 194 002
1477 000 195 001
1478 000 195 001
1479 000 195 001
1480 000 195 001
1481 000 195 002
1482 000 194 003
1483 000 194 004
1484 000 193 007
1485 000 191 012
1486 000 190 023
1487 000 188 037
1488 000 185 056
1489 000 183 080
1490 000 179 106
1491 000 173 130
1492 000 165 152
1493 000 154 168
1494 000 140 178
1495 000 125 184
1496 002 108 187
1497 003 091 189
1498 006 074 191
1499 010 058 192
1500 014 044 193
1501 022 032 194
1502 032 020 194
1503 044 012 193
1504 058 006 193
1505 072 002 192
1506 088 001 192
1507 105 000 191
1508 120 000 191
1509 135 000 191
1510 147 000 190
1511 158 000 190
1512 167 000 190
1513 174 000 190
1514 179 000 190
1515 183 000 191
1516 185 000 191
1517 187 000 191
1518 189 000 192
1519 190 000 192
1520 192 000 192
1521 193 000 192
1522 194 000 192
1523 195 000 191
1524 195 000 190
1525 196 000 188
1526 196 000 185
1527 197 000 182
1528 197 000 176
1529 197 000 166
1530 197 000 152
1531 197 000 133
1532 196 000 108
1533 196 000 082
1534 195 000 059
1535 195 000 038
1536 195 000 023
1537 194 000 012
1538 194 000 006
1539 194 000 004
1540 193 000 003
1541 193 000 002
1542 193 000 001
1543 193 000 001
1544 193 000 002
1545 193 000 002
1546 192 000 003
1547 193 000 003
1548 193 000 004
1549 193 000 004
1550 193 000 004
1551 193 000 004
1552 193 000 004
1553 193 000 004
1554 193 000 004
1555 193 000 004
1556 193 000 004
1557 193 000 004
1558 193 000 003
1559 193 000 003
1560 193 000 002
1561 193 000 002
1562 194 000 001
1563 194 000 001
1564 193 000 000
1565 193 000 000
1566 192 000 000
1567 192 000 000
1568 191 000 000
1569 191 000 000
1570 190 000 000
1571 189 000 000
1572 188 000 001
1573 187 000 001
1574 185 000 002
1575 183 000 003
1576 181 000 004
1577 177 000 005
1578 172 000 007
1579 165 000 009
1580 157 000 012
1581 147 000 018
1582 136 000 028
1583 123 000 040
1584 110 000 056
1585 097 001 074
1586 084 002 094
1587 071 004 114
1588 058 008 134
1589 046 014 151
1590 034 024 165
1591 025 037 173
1592 017 053 178
1593 011 073 181
1594 007 093 182
1595 004 111 184
1596 002 128 185
